source_key,source_name,categoria,implementation_status,tipo_implementacion,decision_operativa,tipo_datos_descargados,tipologia_datos,uso_observatorio,frecuencia_descarga,estado_fuente,priority_wave,recommended_frequency,last_run_status,record_count,comentario_excel_recomendado,brief_markdown,brief_latex
arxiv,arXiv,Científica,implementada_runtime,Implementada directa/API,mantener,CSV de vigilancia semanal y CSV de trabajos arXiv CCHEN cuando hay DOI/autor/alias asociado.,"Preprints, metadatos bibliograficos y vigilancia temprana",Vigilar preprints y produccion temprana en física y areas afines CCHEN.,semanal (otros outputs: semestral),Implementada y usable con control de calidad/frescura.,1_primera_ola,semanal (otros outputs: semestral),success; seeded_from_outputs,407; 1,Implementada para extraccion CCHEN-only; Vigilar preprints y produccion temprana en física y areas afines CCHEN; mantener frecuencia semanal (otros outputs: semestral).,Docs/reports/fuentes_fernanda_implementadas/briefs/brief_arxiv.md,Docs/reports/fuentes_fernanda_implementadas/briefs/brief_arxiv.tex
crossref,Crossref,Científica,implementada_runtime,Implementada directa/API,mantener,"CSV enriquecido por DOI CCHEN con metadatos, referencias, abstracts y financiadores.","Metadatos DOI, referencias, abstracts y funding","Enriquecer DOI CCHEN con metadatos bibliograficos, referencias, abstracts y funding.",trimestral,Implementada y usable con control de calidad/frescura.,1_primera_ola,trimestral,seeded_from_outputs,1434,"Implementada para extraccion CCHEN-only; Enriquecer DOI CCHEN con metadatos bibliograficos, referencias, abstracts y funding; mantener frecuencia trimestral.",Docs/reports/fuentes_fernanda_implementadas/briefs/brief_crossref.md,Docs/reports/fuentes_fernanda_implementadas/briefs/brief_crossref.tex
datacite_outputs,DataCite,Científica,implementada_runtime,Implementada directa/API,mantener,"CSV de outputs/datasets con DOI vinculados a CCHEN, ORCID/ROR o metadatos institucionales.","Datasets, DOIs y outputs de investigacion","Identificar datasets y outputs con DOI vinculados a CCHEN, ORCID o ROR.",semestral,Implementada y usable con control de calidad/frescura.,1_primera_ola,semestral,seeded_from_outputs,12,"Implementada para extraccion CCHEN-only; Identificar datasets y outputs con DOI vinculados a CCHEN, ORCID o ROR; mantener frecuencia semestral.",Docs/reports/fuentes_fernanda_implementadas/briefs/brief_datacite_outputs.md,Docs/reports/fuentes_fernanda_implementadas/briefs/brief_datacite_outputs.tex
europmc_works,Europe PMC,Científica,implementada_runtime,Implementada directa/API,mantener,"CSV de publicaciones biomédicas filtradas por CCHEN, autores, afiliaciones o DOI conocidos.",Publicaciones biomédicas y metadatos Europe PMC,Complementar publicaciones biomédicas y de radiofarmacia con metadatos Europe PMC.,semestral,Implementada y usable con control de calidad/frescura.,1_primera_ola,semestral,seeded_from_outputs,74,Implementada para extraccion CCHEN-only; Complementar publicaciones biomédicas y de radiofarmacia con metadatos Europe PMC; mantener frecuencia semestral.,Docs/reports/fuentes_fernanda_implementadas/briefs/brief_europmc_works.md,Docs/reports/fuentes_fernanda_implementadas/briefs/brief_europmc_works.tex
inspire_works,INSPIRE,Científica,implementada_runtime,Implementada directa/API,mantener,CSV de trabajos académicos de fisica filtrados por señal CCHEN.,Publicaciones/preprints de fisica e informacion académica especializada,"Cubrir fisica, plasma, altas energias y areas afines donde CCHEN tiene produccion.",semestral,Implementada y usable con control de calidad/frescura.,1_primera_ola,semestral,seeded_from_outputs,21,"Implementada para extraccion CCHEN-only; Cubrir fisica, plasma, altas energias y areas afines donde CCHEN tiene produccion; mantener frecuencia semestral.",Docs/reports/fuentes_fernanda_implementadas/briefs/brief_inspire_works.md,Docs/reports/fuentes_fernanda_implementadas/briefs/brief_inspire_works.tex
openaire_outputs,OpenAIRE,Científica,implementada_runtime,Implementada directa/API,mantener,CSV de outputs académicos y repositorios asociados a identificadores CCHEN.,"Outputs académicos, repositorios y relaciones ORCID/DOI",Consolidar outputs academicos europeos y repositorios vinculados a ORCID/DOI CCHEN.,semestral,Implementada y usable con control de calidad/frescura.,1_primera_ola,semestral,seeded_from_outputs,878,Implementada para extraccion CCHEN-only; Consolidar outputs academicos europeos y repositorios vinculados a ORCID/DOI CCHEN; mantener frecuencia semestral.,Docs/reports/fuentes_fernanda_implementadas/briefs/brief_openaire_outputs.md,Docs/reports/fuentes_fernanda_implementadas/briefs/brief_openaire_outputs.tex
orcid,ORCID,Científica,implementada_runtime,Implementada directa/API,mantener,CSV de perfiles ORCID de investigadores CCHEN y metadatos asociados.,"Perfiles de investigadores, afiliaciones e identificadores","Mantener perfiles de investigadores CCHEN, afiliaciones, identificadores y obras declaradas.",semestral,Implementada y usable con control de calidad/frescura.,1_primera_ola,semestral,seeded_from_outputs,65,"Implementada para extraccion CCHEN-only; Mantener perfiles de investigadores CCHEN, afiliaciones, identificadores y obras declaradas; mantener frecuencia semestral.",Docs/reports/fuentes_fernanda_implementadas/briefs/brief_orcid.md,Docs/reports/fuentes_fernanda_implementadas/briefs/brief_orcid.tex
pubmed_works,PubMed,Científica,implementada_runtime,Implementada directa/API,mantener,"CSV de publicaciones PubMed con señal CCHEN en DOI, autor, afiliacion o tema relevante.","Publicaciones biomédicas, medicina nuclear y radiofarmacia","Capturar publicaciones biomédicas, medicina nuclear y radiofarmacia con señal CCHEN.",semestral,Implementada y usable con control de calidad/frescura.,1_primera_ola,semestral,seeded_from_outputs,20,"Implementada para extraccion CCHEN-only; Capturar publicaciones biomédicas, medicina nuclear y radiofarmacia con señal CCHEN; mantener frecuencia semestral.",Docs/reports/fuentes_fernanda_implementadas/briefs/brief_pubmed_works.md,Docs/reports/fuentes_fernanda_implementadas/briefs/brief_pubmed_works.tex
semantic_scholar,Semantic Scholar,Científica,implementada_runtime,Implementada directa/API,mantener,CSV de metadatos/citas Semantic Scholar asociados a publicaciones CCHEN.,"Metadatos académicos, autores, citas y relaciones semanticas","Complementar citas, autores y metadatos semanticos de publicaciones CCHEN.",trimestral,Implementada y usable con control de calidad/frescura.,1_primera_ola,trimestral,seeded_from_outputs,1057,"Implementada para extraccion CCHEN-only; Complementar citas, autores y metadatos semanticos de publicaciones CCHEN; mantener frecuencia trimestral.",Docs/reports/fuentes_fernanda_implementadas/briefs/brief_semantic_scholar.md,Docs/reports/fuentes_fernanda_implementadas/briefs/brief_semantic_scholar.tex
unpaywall_oa,Unpaywall,Científica,implementada_runtime,Implementada directa/API,mantener,CSV con estado open access por DOI CCHEN.,Estado de acceso abierto por DOI,Determinar disponibilidad open access de DOI CCHEN.,semestral,Implementada y usable con control de calidad/frescura.,1_primera_ola,semestral,success,780,Implementada para extraccion CCHEN-only; Determinar disponibilidad open access de DOI CCHEN; mantener frecuencia semestral.,Docs/reports/fuentes_fernanda_implementadas/briefs/brief_unpaywall_oa.md,Docs/reports/fuentes_fernanda_implementadas/briefs/brief_unpaywall_oa.tex
