conv_id,convocatoria_titulo,estado,categoria,organismo,perfil_objetivo,perfil_id,perfil_nombre,owner_unit,score_total,score_breakdown,eligibility_status,readiness_status,recommended_action,deadline_class,evidence_summary,url,relevancia_cchen,apertura_iso,cierre_iso,match_type,last_evaluated_at,estado_gestion,responsable_dgin,fecha_revision,comentarios
conv_fonis_2026,Proyectos de Investigación y Desarrollo en Salud (Fonis) 2026,Abierto,Investigación Aplicada e Innovación,ANID,Académicos / PI,pi_ciencia,PI / ciencia,Gestión I+D,95,"{""estado"": 25, ""relevancia_cchen"": 25, ""ajuste_perfil"": 20, ""fuerza_interna"": 15, ""urgencia_ventana"": 5, ""evidencia_especifica"": 5, ""penalizacion_elegibilidad"": 0, ""match_type"": ""exacto"", ""missing_requirements"": []}",Cumple base observada,Listo para activar,Activar pre-postulación inmediata con Gestión I+D y contraparte técnica.,Ventana 31-60 días,25 proyectos ANID de perfil científico y 497 investigadores CCHEN canónicos.,https://anid.cl/concursos/proyectos-de-investigacion-y-desarrollo-en-salud-fonis-2026/,Alta,2026-01-28,2026-04-28,exacto,2026-03-22,Postulacion en curso,Titular DGIn (confirmado),2026-04-06,
conv_beneficios_2026,Segundo Llamado de Beneficios Complementarios 2026,Abierto,Capital Humano,ANID,Becarios / doctorado,doctorado_formacion,Doctorado y formación avanzada,Gestión I+D / formación,90,"{""estado"": 25, ""relevancia_cchen"": 15, ""ajuste_perfil"": 20, ""fuerza_interna"": 15, ""urgencia_ventana"": 10, ""evidencia_especifica"": 5, ""penalizacion_elegibilidad"": 0, ""match_type"": ""exacto"", ""missing_requirements"": []}",Cumple base observada,Listo para activar,Activar pre-postulación inmediata con Gestión I+D / formación y contraparte técnica.,Ventana <= 30 días,35 registros de formación avanzada en capital humano.,https://anid.cl/concursos/segundo-llamado-de-beneficios-complementarios-2026/,Media,2026-02-12,2026-04-01,exacto,2026-03-22,Postulacion en curso,Titular DGIn (confirmado),2026-04-06,
conv_doctorado_becas_chile_2026,Doctorado Becas Chile 2026,Próximo,Capital Humano,ANID,Doctorado,doctorado_formacion,Doctorado y formación avanzada,Gestión I+D / formación,80,"{""estado"": 15, ""relevancia_cchen"": 25, ""ajuste_perfil"": 20, ""fuerza_interna"": 15, ""urgencia_ventana"": 0, ""evidencia_especifica"": 5, ""penalizacion_elegibilidad"": 0, ""match_type"": ""exacto"", ""missing_requirements"": []}",Cumple base observada,Listo para activar,Preparar pipeline y designar formulador en Gestión I+D / formación antes de apertura.,Sin fecha crítica,35 registros de formación avanzada en capital humano.,https://anid.cl/concursos/doctorado-becas-chile-2026/,Alta,,,exacto,2026-03-22,En evaluacion,Titular DGIn (confirmado),2026-04-06,
conv_postdoctorado_becas_chile_2026,Postdoctorado Becas Chile 2026,Próximo,Capital Humano,ANID,Postdoctorado,postdoctorado,Postdoctorado,Gestión I+D / RRHH técnico,80,"{""estado"": 15, ""relevancia_cchen"": 25, ""ajuste_perfil"": 20, ""fuerza_interna"": 15, ""urgencia_ventana"": 0, ""evidencia_especifica"": 5, ""penalizacion_elegibilidad"": 0, ""match_type"": ""exacto"", ""missing_requirements"": []}",Cumple base observada,Listo para activar,Preparar pipeline y designar formulador en Gestión I+D / RRHH técnico antes de apertura.,Sin fecha crítica,2 proyectos posdoctorales detectados y pipeline de 35 tesistas/memoristas.,https://anid.cl/concursos/postdoctorado-becas-chile-2026/,Alta,,,exacto,2026-03-22,Pendiente,Titular DGIn (confirmado),2026-04-06,
conv_fulbright_doctorado_2026,Beca de Doctorado Igualdad de Oportunidades Fulbright ANID Convocatoria 2026,Próximo,Capital Humano,ANID,Doctorado,doctorado_formacion,Doctorado y formación avanzada,Gestión I+D / formación,80,"{""estado"": 15, ""relevancia_cchen"": 25, ""ajuste_perfil"": 20, ""fuerza_interna"": 15, ""urgencia_ventana"": 0, ""evidencia_especifica"": 5, ""penalizacion_elegibilidad"": 0, ""match_type"": ""exacto"", ""missing_requirements"": []}",Cumple base observada,Listo para activar,Preparar pipeline y designar formulador en Gestión I+D / formación antes de apertura.,Sin fecha crítica,35 registros de formación avanzada en capital humano.,https://anid.cl/concursos/beca-de-doctorado-igualdad-de-oportunidades-fulbright-anid-convocatoria-2026/,Alta,,,exacto,2026-03-22,Pendiente,Titular DGIn (confirmado),2026-04-06,
conv_tesis_sector_productivo_2026,Tesis de Doctorado en el Sector Productivo 2026,Próximo,Capital Humano,ANID,Doctorado,doctorado_formacion,Doctorado y formación avanzada,Gestión I+D / formación,80,"{""estado"": 15, ""relevancia_cchen"": 25, ""ajuste_perfil"": 20, ""fuerza_interna"": 15, ""urgencia_ventana"": 0, ""evidencia_especifica"": 5, ""penalizacion_elegibilidad"": 0, ""match_type"": ""exacto"", ""missing_requirements"": []}",Cumple base observada,Listo para activar,Preparar pipeline y designar formulador en Gestión I+D / formación antes de apertura.,Sin fecha crítica,35 registros de formación avanzada en capital humano.,https://anid.cl/concursos/tesis-de-doctorado-en-el-sector-productivo-2026/,Alta,,,exacto,2026-03-22,Pendiente,Titular DGIn (confirmado),2026-04-06,
conv_instalacion_academia_2026,Subvención a la Instalación en la Academia 2026,Próximo,Capital Humano,ANID,Académicos / PI,pi_ciencia,PI / ciencia,Gestión I+D,80,"{""estado"": 15, ""relevancia_cchen"": 25, ""ajuste_perfil"": 20, ""fuerza_interna"": 15, ""urgencia_ventana"": 0, ""evidencia_especifica"": 5, ""penalizacion_elegibilidad"": 0, ""match_type"": ""exacto"", ""missing_requirements"": []}",Cumple base observada,Listo para activar,Preparar pipeline y designar formulador en Gestión I+D antes de apertura.,Sin fecha crítica,25 proyectos ANID de perfil científico y 497 investigadores CCHEN canónicos.,https://anid.cl/concursos/subvencion-a-la-instalacion-en-la-academia-2026/,Alta,,,exacto,2026-03-22,Pendiente,Titular DGIn (confirmado),2026-04-06,
conv_daad_doctorado_2026,Doctorado Becas Chile ANID-DAAD 2026,Próximo,Capital Humano,ANID,Doctorado,doctorado_formacion,Doctorado y formación avanzada,Gestión I+D / formación,80,"{""estado"": 15, ""relevancia_cchen"": 25, ""ajuste_perfil"": 20, ""fuerza_interna"": 15, ""urgencia_ventana"": 0, ""evidencia_especifica"": 5, ""penalizacion_elegibilidad"": 0, ""match_type"": ""exacto"", ""missing_requirements"": []}",Cumple base observada,Listo para activar,Preparar pipeline y designar formulador en Gestión I+D / formación antes de apertura.,Sin fecha crítica,35 registros de formación avanzada en capital humano.,https://anid.cl/concursos/doctorado-becas-chile-anid-daad-2026/,Alta,,,exacto,2026-03-22,Pendiente,Titular DGIn (confirmado),2026-04-06,
conv_fondecyt_iniciacion_2027,Concurso de Proyectos Fondecyt de Iniciación en Investigación 2027,Próximo,Proyectos de Investigación,ANID,Académicos / PI,pi_ciencia,PI / ciencia,Gestión I+D,80,"{""estado"": 15, ""relevancia_cchen"": 25, ""ajuste_perfil"": 20, ""fuerza_interna"": 15, ""urgencia_ventana"": 0, ""evidencia_especifica"": 5, ""penalizacion_elegibilidad"": 0, ""match_type"": ""exacto"", ""missing_requirements"": []}",Cumple base observada,Listo para activar,Preparar pipeline y designar formulador en Gestión I+D antes de apertura.,Sin fecha crítica,25 proyectos ANID de perfil científico y 497 investigadores CCHEN canónicos.,https://anid.cl/concursos/concurso-de-proyectos-fondecyt-de-iniciacion-en-investigacion-2027/,Alta,,,exacto,2026-03-22,Pendiente,Titular DGIn (confirmado),2026-04-06,
conv_fondecyt_regular_2027,Concurso de Proyectos Fondecyt Regular 2027,Próximo,Proyectos de Investigación,ANID,Académicos / PI,pi_ciencia,PI / ciencia,Gestión I+D,80,"{""estado"": 15, ""relevancia_cchen"": 25, ""ajuste_perfil"": 20, ""fuerza_interna"": 15, ""urgencia_ventana"": 0, ""evidencia_especifica"": 5, ""penalizacion_elegibilidad"": 0, ""match_type"": ""exacto"", ""missing_requirements"": []}",Cumple base observada,Listo para activar,Preparar pipeline y designar formulador en Gestión I+D antes de apertura.,Sin fecha crítica,25 proyectos ANID de perfil científico y 497 investigadores CCHEN canónicos.,https://anid.cl/concursos/concurso-de-proyectos-fondecyt-regular-2027/,Alta,,,exacto,2026-03-22,Pendiente,Titular DGIn (confirmado),2026-04-06,
