source_key,source_name,api_url,access_type,cchen_filter_strategy,status,records_written,queries_tested,error_summary,fetched_at,notes
doaj,DOAJ,https://doaj.org/api/v4/search/articles,abierta,aliases institucionales CCHEN / afiliación / texto libre exacto,success,25,1,,2026-05-19,API respondió; resultados guardados solo si contienen alias CCHEN visible.
hal,HAL,https://api.hal.science/search/,abierta,aliases institucionales CCHEN / afiliación / texto libre exacto,success,11,4,,2026-05-19,API respondió; resultados guardados solo si contienen alias CCHEN visible.
figshare,Figshare,https://api.figshare.com/v2/articles/search,abierta,aliases institucionales CCHEN / afiliación / texto libre exacto,success_zero_cchen_records,0,4,,2026-05-19,API respondió; resultados guardados solo si contienen alias CCHEN visible.
core,CORE,https://api.core.ac.uk/v3/search/works,abierta,aliases institucionales CCHEN / afiliación / texto libre exacto,success,16,4,,2026-05-19,API respondió; resultados guardados solo si contienen alias CCHEN visible.
base,BASE,https://api.base-search.net/cgi-bin/BaseHttpSearchInterface.fcgi,abierta_con_restriccion_ip_ua,aliases institucionales CCHEN / afiliación / texto libre exacto,failed_probe,0,1,Access denied for IP address 186.105.70.42 and user agent CCHEN-Observatory/1.0 (mailto:observatory@cchen.cl).,2026-05-19,No bloquear adjudicación; documentar acceso o ajustar endpoint antes de implementar.
uniprot,UniProt,https://rest.uniprot.org/uniprotkb/search,abierta,aliases institucionales CCHEN / afiliación / texto libre exacto,success_zero_cchen_records,0,4,,2026-05-19,"API respondió, pero no hay filtro institucional ni resultados CCHEN visibles; requiere semillas temáticas."
biorxiv,bioRxiv,https://api.biorxiv.org/,candidata,aliases institucionales CCHEN / afiliación / texto libre exacto,skipped_no_safe_cchen_filter,0,0,,2026-05-19,API gratuita por fecha/DOI; no ofrece búsqueda institucional/texto libre segura sin crawlear ventanas amplias.
medrxiv,medRxiv,https://api.medrxiv.org/,candidata,aliases institucionales CCHEN / afiliación / texto libre exacto,skipped_no_safe_cchen_filter,0,0,,2026-05-19,API gratuita por fecha/DOI; usar solo si aparece DOI CCHEN conocido o se define ventana acotada.
pubchem,PubChem,https://pubchem.ncbi.nlm.nih.gov/docs/pug-rest,candidata,aliases institucionales CCHEN / afiliación / texto libre exacto,skipped_no_institution_filter,0,0,,2026-05-19,"API gratuita Bio/Farma, pero no filtra por afiliación CCHEN; requiere lista interna de moléculas/radiofármacos."
string_db,STRING,https://string-db.org/help/api/,candidata,aliases institucionales CCHEN / afiliación / texto libre exacto,skipped_no_institution_filter,0,0,,2026-05-19,API gratuita para proteínas/interacciones; requiere semillas temáticas CCHEN antes de consultar.
epo_ops,EPO OPS / Espacenet,https://developers.epo.org/,candidata,aliases institucionales CCHEN / afiliación / texto libre exacto,skipped_requires_registration,0,0,,2026-05-19,Candidata de patentes; priorizar después de INAPI y PatentsView. Requiere credenciales OPS.
wipo_patentscope,WIPO PATENTSCOPE,https://www.wipo.int/patentscope/,candidata,aliases institucionales CCHEN / afiliación / texto libre exacto,skipped_access_review,0,0,,2026-05-19,"Base pública útil para patentes, pero API/descarga masiva requiere validar acceso y términos."
