source_key,source_name,categoria,subcategoria,acceso,api_url,cchen_filter_strategy,comentario_excel_fernanda,implementation_status,priority_wave,recommended_frequency,freshness_sla_days,runtime_source_keys,requires_token,runner_command,gap_summary
crossref,Crossref,Científica,Metadatos,Abierto,https://api.crossref.org/swagger-ui/index.html,DOI CCHEN conocido; no se consulta universo completo.,"Implementada. Util para enriquecer DOI CCHEN con metadatos, referencias y funding; mantener frecuencia trimestral.",implementada_runtime,1_primera_ola,trimestral,90,crossref,False,python Scripts/fetch_crossref.py && python Database/migrate_crossref.py,Sin brecha critica de implementacion; validar frescura y calidad.
datacite_outputs,DataCite,Científica,Repositorios / Datos,Abierto,https://support.datacite.org/docs/api,ORCID/ROR/DOI CCHEN y metadatos de outputs institucionales.,"Implementada o preservada en runtime. Util para outputs, datasets y produccion asociada a ORCID/ROR CCHEN.",implementada_runtime,1_primera_ola,semestral,180,datacite_outputs,False,python Scripts/fetch_datacite_outputs.py,Sin brecha critica de implementacion; validar frescura y calidad.
europmc_works,Europe PMC,Científica,Biomedicina,Abierto,https://europepmc.org/RestfulWebService,"Aliases CCHEN, autores/afiliaciones o DOI ya conocidos; revisar falsos positivos.","Implementada. Mantener solo resultados asociados a autores, afiliaciones o DOI CCHEN; frecuencia semestral.",implementada_runtime,1_primera_ola,semestral,180,europmc_works,False,python Scripts/fetch_europmc.py && python Database/migrate_europmc.py,Sin brecha critica de implementacion; validar frescura y calidad.
inspire_works,INSPIRE,Científica,Física,Abierto,https://github.com/inspirehep/rest-api-doc,"Aliases CCHEN, autores/afiliaciones o DOI ya conocidos; revisar falsos positivos.","Implementada. Util para fisica, preprints y metadatos academicos; revisar relevancia CCHEN y falsos positivos.",implementada_runtime,1_primera_ola,semestral,180,inspire_works,False,python Scripts/fetch_inspire.py && python Database/migrate_inspire.py,Sin brecha critica de implementacion; validar frescura y calidad.
orcid,ORCID,Científica,Metadatos,Abierto,https://info.orcid.org/documentation/features/public-api/,Afiliacion/nombre investigador CCHEN y ORCID conocido.,Implementada. Util para perfiles de investigadores CCHEN; mantener frecuencia semestral.,implementada_runtime,1_primera_ola,semestral,180,orcid,False,python Scripts/fetch_orcid.py && python Database/migrate_orcid.py,Sin brecha critica de implementacion; validar frescura y calidad.
pubmed_works,PubMed,Científica,General,Abierto,https://www.ncbi.nlm.nih.gov/home/develop/api/,"Aliases CCHEN, autores/afiliaciones o DOI ya conocidos; revisar falsos positivos.","Implementada. Mantener solo resultados asociados a autores, afiliaciones o DOI CCHEN; frecuencia semestral.",implementada_runtime,1_primera_ola,semestral,180,pubmed_works,False,python Scripts/fetch_pubmed.py && python Database/migrate_pubmed.py,Sin brecha critica de implementacion; validar frescura y calidad.
semantic_scholar,Semantic Scholar,Científica,Multidisciplinario,Abierto,https://www.semanticscholar.org/product/api,"Aliases CCHEN, autores/afiliaciones o DOI ya conocidos; revisar falsos positivos.","Implementada. Util para fisica, preprints y metadatos academicos; revisar relevancia CCHEN y falsos positivos.",implementada_runtime,1_primera_ola,trimestral,90,semantic_scholar,False,python Scripts/fetch_semantic_scholar.py && python Database/migrate_semantic_scholar.py,Sin brecha critica de implementacion; validar frescura y calidad.
unpaywall_oa,Unpaywall,Científica,Repositorios / Datos,Abierto,https://unpaywall.org/products/api,DOI CCHEN conocido; no se consulta universo completo.,Implementada en runtime. Prioridad alta por ser gratuita y enriquecer acceso abierto desde DOI CCHEN.,implementada_runtime,1_primera_ola,semestral,180,unpaywall_oa,False,python Scripts/enrich_unpaywall.py --only-missing,Sin brecha critica de implementacion; validar frescura y calidad.
zenodo_outputs,Zenodo,Científica,Repositorios / Datos,Abierto,https://developers.zenodo.org/,"Aliases institucionales CCHEN visibles en afiliacion o metadatos; metadata-only, sin descarga de archivos.","Implementada metadata-only. Util para datasets y outputs CCHEN en Zenodo; no descarga archivos, solo inventario y curaduria.",implementada_runtime,1_primera_ola,semestral,180,zenodo_outputs,False,python Scripts/fetch_zenodo_cchen_metadata.py && python Scripts/curate_zenodo_cchen_metadata.py,Sin brecha critica de implementacion; validar frescura y calidad.
arxiv,arXiv,Científica,Preprints,Abierto,https://info.arxiv.org/help/api/index.html,"Aliases CCHEN, autores/afiliaciones o DOI ya conocidos; revisar falsos positivos.","Implementada. Util para fisica, preprints y metadatos academicos; revisar relevancia CCHEN y falsos positivos.",implementada_runtime,1_primera_ola,semanal; semestral,8; 180,arxiv_monitor; arxiv_works,False,python Scripts/arxiv_monitor.py && python Database/migrate_vigilancia.py; python Scripts/fetch_arxiv.py && python Database/migrate_arxiv.py,Sin brecha critica de implementacion; validar frescura y calidad.
patentsview_uspto,PatentsView,Patentes,EE.UU.,Abierto,https://patentsview.org/apis/purpose,Aliases de solicitante/inventor CCHEN; requiere PATENTSVIEW_API_KEY.,"Registrada, pero requiere PATENTSVIEW_API_KEY para corrida exitosa; separar de INAPI local.",implementada_runtime,1_primera_ola,semestral,180,patentsview_uspto,True,python Scripts/fetch_patentsview_patents.py && python Database/migrate_patentsview.py,"Registrada con runner, pero ultima corrida fallo; validar credencial PATENTSVIEW_API_KEY."
